seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1850976	1851119	144	*	X00162	339456	1849029	1850740	1712	-	235	upstream	235	TMEM52
chr1	1935072	1935176	105	*	X00163	85452	1884752	1935276	50525	-	0	inside	99	CFAP74
chr1	1950179	1950283	105	*	X00164	2563	1950768	1962192	11425	+	484	upstream	484	GABRD
chr1	1950614	1950636	23	*	X00165	2563	1950768	1962192	11425	+	131	upstream	131	GABRD
chr1	1950920	1951009	90	*	X00166	2563	1950768	1962192	11425	+	0	inside	151	GABRD
chr1	1981357	1981416	60	*	X00169	5590	1981909	2116834	134926	+	492	upstream	492	PRKCZ
chr1	1981622	1981709	88	*	X00170	5590	1981909	2116834	134926	+	199	upstream	199	PRKCZ
chr1	1981749	1981831	83	*	X00171	5590	1981909	2116834	134926	+	77	upstream	77	PRKCZ
chr1	1982182	1982331	150	*	X00172	5590	1981909	2116834	134926	+	0	inside	272	PRKCZ
chr1	2159406	2159474	69	*	X00184	6497	2160134	2241652	81519	+	659	upstream	659	SKI
chr1	2323483	2323752	270	*	X00197	11079	2323214	2336885	13672	+	0	inside	268	RER1
chr1	2323483	2323752	270	*	X00197	79906	2252696	2322993	70298	-	489	upstream	489	MORN1
chr1	2343694	2343783	90	*	X00200	5192	2336241	2344010	7770	-	0	inside	226	PEX10
chr1	2344174	2344263	90	*	X00201	5192	2336241	2344010	7770	-	163	upstream	163	PEX10
chr1	2344909	2345028	120	*	X00202	5192	2336241	2344010	7770	-	898	upstream	898	PEX10
chr1	2457713	2457877	165	*	X00208	55229	2439975	2458035	18061	-	0	inside	157	PANK4
chr1	2459950	2460052	103	*	X00209	55229	2439975	2458035	18061	-	1914	upstream	1914	PANK4
chr1	2461973	2462077	105	*	X00212	388585	2460184	2461684	1501	-	288	upstream	288	HES5
chr1	2462483	2462542	60	*	X00213	388585	2460184	2461684	1501	-	798	upstream	798	HES5
chr1	2462663	2462692	30	*	X00214	388585	2460184	2461684	1501	-	978	upstream	978	HES5
chr1	2517495	2517614	120	*	X00224	127281	2517899	2522908	5010	+	284	upstream	284	PRXL2B
chr1	2518110	2518379	270	*	X00225	127281	2517899	2522908	5010	+	0	inside	210	PRXL2B
chr1	2983803	2983883	81	*	X00236	63976	2985742	3355185	369444	+	1858	upstream	1858	PRDM16
chr1	2985039	2985263	225	*	X00237	63976	2985742	3355185	369444	+	478	upstream	478	PRDM16
chr1	2985039	2985263	225	*	X00237	440556	2976181	2984289	8109	-	749	upstream	749	PRDM16-DT
chr1	2985534	2985653	120	*	X00238	63976	2985742	3355185	369444	+	88	upstream	88	PRDM16
chr1	2985534	2985653	120	*	X00238	440556	2976181	2984289	8109	-	1244	upstream	1244	PRDM16-DT
chr1	3527983	3528141	159	*	X00261	1953	3404506	3528059	123554	-	0	overlapStart	0	MEGF6
chr1	3528306	3528357	52	*	X00262	1953	3404506	3528059	123554	-	246	upstream	246	MEGF6
chr1	3539623	3539742	120	*	X00263	127262	3541556	3546694	5139	+	1813	upstream	1813	TPRG1L
chr1	3541703	3542003	301	*	X00264	127262	3541556	3546694	5139	+	0	inside	146	TPRG1L
chr1	3567435	3567509	75	*	X00265	49856	3547331	3566671	19341	-	763	upstream	763	WRAP73
chr1	3567435	3567509	75	*	X00265	7161	3569129	3652765	83637	+	1619	upstream	1619	TP73
chr1	3663507	3663656	150	*	X00272	57212	3652548	3663937	11390	-	0	inside	280	TP73-AS1
chr1	3663987	3664121	135	*	X00273	57212	3652548	3663937	11390	-	49	upstream	49	TP73-AS1
chr1	3688852	3688941	90	*	X00274	388588	3689334	3692546	3213	+	392	upstream	392	SMIM1
chr1	3688950	3689053	104	*	X00275	388588	3689334	3692546	3213	+	280	upstream	280	SMIM1
chr1	3689161	3689234	74	*	X00276	388588	3689334	3692546	3213	+	99	upstream	99	SMIM1
chr1	3713211	3713330	120	*	X00277	57470	3696784	3713068	16285	-	142	upstream	142	LRRC47
chr1	3774387	3774566	180	*	X00278	9731	3728645	3773797	45153	-	589	upstream	589	CEP104
chr1	3775692	3775796	105	*	X00279	9731	3728645	3773797	45153	-	1894	upstream	1894	CEP104
chr1	3816553	3816732	180	*	X00280	100133612	3816968	3833879	16912	+	235	upstream	235	LINC01134
chr1	3816553	3816732	180	*	X00280	339448	3805697	3816857	11161	-	0	inside	124	C1orf174
chr1	3816823	3816882	60	*	X00281	100133612	3816968	3833879	16912	+	85	upstream	85	LINC01134
chr1	3816823	3816882	60	*	X00281	339448	3805697	3816857	11161	-	0	overlapStart	0	C1orf174
chr1	3817439	3817573	135	*	X00282	339448	3805697	3816857	11161	-	581	upstream	581	C1orf174
chr1	3817724	3817963	240	*	X00283	339448	3805697	3816857	11161	-	866	upstream	866	C1orf174
chr1	4713369	4713638	270	*	X00291	55966	4715105	4843851	128747	+	1466	upstream	1466	AJAP1
chr1	4714134	4714238	105	*	X00292	55966	4715105	4843851	128747	+	866	upstream	866	AJAP1
chr1	4714608	4714700	93	*	X00293	55966	4715105	4843851	128747	+	404	upstream	404	AJAP1
chr1	6051104	6051223	120	*	X00301	8514	6052358	6161253	108896	+	1134	upstream	1134	KCNAB2
chr1	6051809	6052158	350	*	X00302	8514	6052358	6161253	108896	+	199	upstream	199	KCNAB2
chr1	6052784	6052873	90	*	X00303	261734	5922870	6052533	129664	-	250	upstream	250	NPHP4
chr1	6052954	6053358	405	*	X00304	261734	5922870	6052533	129664	-	420	upstream	420	NPHP4
chr1	6053574	6053798	225	*	X00305	261734	5922870	6052533	129664	-	1040	upstream	1040	NPHP4
chr1	6054159	6054263	105	*	X00306	261734	5922870	6052533	129664	-	1625	upstream	1625	NPHP4
chr1	6240144	6240215	72	*	X00316	26038	6161847	6240194	78348	-	0	overlapStart	0	CHD5
chr1	6240261	6240263	3	*	X00317	26038	6161847	6240194	78348	-	66	upstream	66	CHD5
chr1	6240879	6240968	90	*	X00318	26038	6161847	6240194	78348	-	684	upstream	684	CHD5
chr1	6241689	6241793	105	*	X00319	26038	6161847	6240194	78348	-	1494	upstream	1494	CHD5
chr1	6265074	6265193	120	*	X00320	388591	6266189	6281359	15171	+	995	upstream	995	RNF207
chr1	6265485	6265574	90	*	X00321	388591	6266189	6281359	15171	+	614	upstream	614	RNF207
chr1	6296174	6296196	23	*	X00330	23463	6281253	6296044	14792	-	129	upstream	129	ICMT
chr1	6303929	6304198	270	*	X00332	390992	6304252	6305638	1387	+	53	upstream	53	HES3
chr1	6304319	6304408	90	*	X00333	390992	6304252	6305638	1387	+	0	inside	66	HES3
chr1	6304499	6304618	120	*	X00334	390992	6304252	6305638	1387	+	0	inside	246	HES3
chr1	6321168	6321237	70	*	X00343	387509	6307406	6321035	13630	-	132	upstream	132	GPR153
chr1	6321673	6321942	270	*	X00344	387509	6307406	6321035	13630	-	637	upstream	637	GPR153
chr1	6453436	6453586	151	*	X00348	11332	6324332	6453826	129495	-	0	inside	239	ACOT7
chr1	6453872	6453976	105	*	X00349	11332	6324332	6453826	129495	-	45	upstream	45	ACOT7
chr1	6483818	6483982	165	*	X00353	83715	6484848	6521004	36157	+	865	upstream	865	ESPN
chr1	6484067	6484186	120	*	X00354	83715	6484848	6521004	36157	+	661	upstream	661	ESPN
chr1	6484748	6484768	21	*	X00355	83715	6484848	6521004	36157	+	79	upstream	79	ESPN
chr1	6484748	6484768	21	*	X00355	54626	6472498	6484730	12233	-	17	upstream	17	HES2
chr1	6484825	6484852	28	*	X00356	83715	6484848	6521004	36157	+	0	overlapStart	0	ESPN
chr1	6484825	6484852	28	*	X00356	54626	6472498	6484730	12233	-	94	upstream	94	HES2
chr1	6526362	6526481	120	*	X00373	8718	6521214	6526255	5042	-	106	upstream	106	TNFRSF25
chr1	6640183	6640317	135	*	X00386	3104	6640056	6649340	9285	+	0	inside	126	ZBTB48
chr1	6640337	6640486	150	*	X00387	3104	6640056	6649340	9285	+	0	inside	280	ZBTB48
chr1	6662957	6663076	120	*	X00388	9903	6650779	6662929	12151	-	27	upstream	27	KLHL21
chr1	6673307	6673576	270	*	X00389	148479	6673756	6684093	10338	+	179	upstream	179	PHF13
chr1	6673697	6673831	135	*	X00390	148479	6673756	6684093	10338	+	0	overlapStart	0	PHF13
chr1	6673963	6674802	840	*	X00391	148479	6673756	6684093	10338	+	0	inside	206	PHF13
chr1	6844744	6844863	120	*	X00397	23261	6845384	7829766	984383	+	520	upstream	520	CAMTA1
chr1	6845269	6845388	120	*	X00398	23261	6845384	7829766	984383	+	0	overlapStart	0	CAMTA1
chr1	6845464	6845598	135	*	X00399	23261	6845384	7829766	984383	+	0	inside	79	CAMTA1
chr1	6845629	6845723	95	*	X00400	23261	6845384	7829766	984383	+	0	inside	244	CAMTA1
chr1	7830942	7831076	135	*	X00418	9341	7831329	7841492	10164	+	252	upstream	252	VAMP3
chr1	7831182	7831316	135	*	X00419	9341	7831329	7841492	10164	+	12	upstream	12	VAMP3
chr1	7843482	7843691	210	*	X00420	8863	7844380	7905237	60858	+	688	upstream	688	PER3
chr1	8085996	8086220	225	*	X00425	54206	8071779	8086393	14615	-	0	inside	172	ERRFI1
chr1	8087308	8087412	105	*	X00426	54206	8071779	8086393	14615	-	914	upstream	914	ERRFI1
chr1	8877300	8877419	120	*	X00434	473	8412464	8877699	465236	-	0	inside	279	RERE
chr1	8877585	8877734	150	*	X00435	473	8412464	8877699	465236	-	0	overlapStart	0	RERE
chr1	9189422	9189755	334	*	X00438	80045	9164476	9189229	24754	-	192	upstream	192	GPR157
chr1	9353157	9353159	3	*	X00446	80176	9352941	9429590	76650	+	0	inside	215	SPSB1
chr1	9648594	9648625	32	*	X00456	199953	9648932	9674935	26004	+	306	upstream	306	TMEM201
chr1	9648842	9648956	115	*	X00457	199953	9648932	9674935	26004	+	0	overlapStart	0	TMEM201
chr1	9884233	9884375	143	*	X00469	22883	9789079	9884550	95472	-	0	inside	174	CLSTN1
chr1	9969998	9970087	90	*	X00472	56998	9908334	9970316	61983	-	0	inside	228	CTNNBIP1
chr1	9970465	9970792	328	*	X00473	56998	9908334	9970316	61983	-	148	upstream	148	CTNNBIP1
chr1	10057136	10057270	135	*	X00474	116362	10057255	10076078	18824	+	0	overlapStart	0	RBP7
chr1	10057511	10057645	135	*	X00475	116362	10057255	10076078	18824	+	0	inside	255	RBP7
chr1	10093060	10093284	225	*	X00476	10277	10093041	10241296	148256	+	0	inside	18	UBE4B
chr1	10458959	10459048	90	*	X00478	5226	10459085	10480201	21117	+	36	upstream	36	PGD
chr1	10532191	10532325	135	*	X00481	1676	10520603	10532613	12011	-	0	inside	287	DFFA
chr1	10534932	10535265	334	*	X00482	5195	10535003	10690815	155813	+	0	overlapStart	0	PEX14
chr1	10856777	10856911	135	*	X00509	54897	10696666	10856733	160068	-	43	upstream	43	CASZ1
chr1	10857291	10857300	10	*	X00510	54897	10696666	10856733	160068	-	557	upstream	557	CASZ1
chr1	11072269	11072298	30	*	X00529	23435	11072679	11085549	12871	+	380	upstream	380	TARDBP
chr1	11072363	11072388	26	*	X00530	23435	11072679	11085549	12871	+	290	upstream	290	TARDBP
chr1	11119965	11120036	72	*	X00535	6723	11114649	11120091	5443	-	0	inside	54	SRM
chr1	11120850	11120969	120	*	X00536	6723	11114649	11120091	5443	-	758	upstream	758	SRM
chr1	11160022	11160156	135	*	X00537	5394	11126676	11159938	33263	-	83	upstream	83	EXOSC10
chr1	11322310	11322414	105	*	X00539	2475	11166588	11322608	156021	-	0	inside	193	MTOR
chr1	11333209	11333232	24	*	X00540	29914	11333255	11348491	15237	+	22	upstream	22	UBIAD1
chr1	11538823	11538942	120	*	X00541	57540	11539295	11597640	58346	+	352	upstream	352	DISP3
chr1	11713163	11713372	210	*	X00547	93611	11714432	11723384	8953	+	1059	upstream	1059	FBXO44
chr1	11713578	11713682	105	*	X00548	93611	11714432	11723384	8953	+	749	upstream	749	FBXO44
chr1	11714868	11715137	270	*	X00549	26232	11708418	11714888	6471	-	0	overlapStart	0	FBXO2
chr1	11715153	11715407	255	*	X00550	26232	11708418	11714888	6471	-	264	upstream	264	FBXO2
chr1	11724335	11724679	345	*	X00551	26270	11724150	11734409	10260	+	0	inside	184	FBXO6
chr1	11751106	11751240	135	*	X00559	374946	11751781	11780336	28556	+	540	upstream	540	DRAXIN
chr1	11751586	11751975	390	*	X00560	374946	11751781	11780336	28556	+	0	overlapStart	0	DRAXIN
chr1	11751586	11751975	390	*	X00560	10459	11734537	11751678	17142	-	0	overlapStart	0	MAD2L2
chr1	11752987	11753136	150	*	X00561	10459	11734537	11751678	17142	-	1308	upstream	1308	MAD2L2
chr1	11864961	11865080	120	*	X00566	1185	11866153	11903201	37049	+	1072	upstream	1072	CLCN6
chr1	11866431	11866610	180	*	X00567	1185	11866153	11903201	37049	+	0	inside	277	CLCN6
chr1	11866431	11866610	180	*	X00567	4524	11845787	11866160	20374	-	270	upstream	270	MTHFR
chr1	11994695	11994799	105	*	X00571	5351	11994724	12035599	40876	+	0	overlapStart	0	PLOD1
chr1	11994935	11995039	105	*	X00572	5351	11994724	12035599	40876	+	0	inside	210	PLOD1
chr1	12078101	12078175	75	*	X00575	60672	12079299	12092106	12808	+	1123	upstream	1123	MIIP
chr1	12078995	12079039	45	*	X00576	60672	12079299	12092106	12808	+	259	upstream	259	MIIP
chr1	12226942	12227001	60	*	X00581	7133	12227060	12269277	42218	+	58	upstream	58	TNFRSF1B
chr1	13840234	13840476	243	*	X00590	126755	13801445	13840242	38798	-	0	overlapStart	0	LRRC38
chr1	13910312	13910446	135	*	X00591	10630	13910252	13944452	34201	+	0	inside	59	PDPN
chr1	14924670	14924774	105	*	X00595	23254	14925213	15444544	519332	+	438	upstream	438	KAZN
chr1	14924925	14924969	45	*	X00596	23254	14925213	15444544	519332	+	243	upstream	243	KAZN
chr1	15480115	15480355	241	*	X00600	200197	15438311	15478960	40650	-	1154	upstream	1154	TMEM51-AS1
chr1	15573292	15573311	20	*	X00603	114827	15573768	15726778	153011	+	456	upstream	456	FHAD1
chr1	15573912	15574106	195	*	X00604	114827	15573768	15726778	153011	+	0	inside	143	FHAD1
chr1	15851028	15851409	382	*	X00612	842	15817324	15851285	33962	-	0	overlapStart	0	CASP9
chr1	15851028	15851409	382	*	X00612	23341	15853352	15918874	65523	+	1942	upstream	1942	DNAJC16
chr1	15851614	15851719	106	*	X00613	842	15817324	15851285	33962	-	328	upstream	328	CASP9
chr1	15851614	15851719	106	*	X00613	23341	15853352	15918874	65523	+	1632	upstream	1632	DNAJC16
chr1	15851810	15851944	135	*	X00614	842	15817324	15851285	33962	-	524	upstream	524	CASP9
chr1	15851810	15851944	135	*	X00614	23341	15853352	15918874	65523	+	1407	upstream	1407	DNAJC16
chr1	15851960	15852064	105	*	X00615	842	15817324	15851285	33962	-	674	upstream	674	CASP9
chr1	15851960	15852064	105	*	X00615	23341	15853352	15918874	65523	+	1287	upstream	1287	DNAJC16
chr1	15853603	15853737	135	*	X00616	23341	15853352	15918874	65523	+	0	inside	250	DNAJC16
chr1	15943360	15943494	135	*	X00617	84301	15943953	15987552	43600	+	458	upstream	458	DDI2
chr1	15943990	15944109	120	*	X00618	84301	15943953	15987552	43600	+	0	inside	36	DDI2
chr1	16009255	16009374	120	*	X00619	23207	16010827	16061264	50438	+	1452	upstream	1452	PLEKHM2
chr1	16009540	16010784	1245	*	X00620	23207	16010827	16061264	50438	+	42	upstream	42	PLEKHM2
chr1	16068947	16068970	24	*	X00621	388595	16068987	16074292	5306	+	16	upstream	16	TMEM82
chr1	16069001	16069330	330	*	X00622	388595	16068987	16074292	5306	+	0	inside	13	TMEM82
chr1	16174985	16175044	60	*	X00630	729614	16160710	16174642	13933	-	342	upstream	342	FLJ37453
chr1	16175300	16175449	150	*	X00631	729614	16160710	16174642	13933	-	657	upstream	657	FLJ37453
chr1	16176105	16176209	105	*	X00632	729614	16160710	16174642	13933	-	1462	upstream	1462	FLJ37453
chr1	16301983	16302417	435	*	X00634	7709	16268364	16302627	34264	-	0	inside	209	ZBTB17
chr1	16353546	16353680	135	*	X00640	1188	16355621	16383821	28201	+	1940	upstream	1940	CLCNKB
chr1	16353733	16353852	120	*	X00641	1188	16355621	16383821	28201	+	1768	upstream	1768	CLCNKB
chr1	16400313	16400402	90	*	X00651	348487	16384264	16400127	15864	-	185	upstream	185	FAM131C
chr1	16539125	16539244	120	*	X00669	128272	16524599	16539104	14506	-	20	upstream	20	ARHGEF19
chr1	16563740	16563814	75	*	X00675	79363	16558182	16563659	5478	-	80	upstream	80	CPLANE2
chr1	16679678	16679782	105	*	X00676	54455	16576559	16678948	102390	-	729	upstream	729	FBXO42
chr1	16693696	16693815	120	*	X00677	26099	16693525	16724643	31119	+	0	inside	170	SZRD1
chr1	17307797	17307961	165	*	X00705	4237	17300999	17308081	7083	-	0	inside	119	MFAP2
chr1	17445967	17446071	105	*	X00708	11240	17393256	17445948	52693	-	18	upstream	18	PADI2
chr1	17446538	17446702	165	*	X00709	11240	17393256	17445948	52693	-	589	upstream	589	PADI2
chr1	17765870	17765959	90	*	X00717	55920	17733251	17766250	33000	-	0	inside	290	RCC2
chr1	17766215	17766266	52	*	X00718	55920	17733251	17766250	33000	-	0	overlapStart	0	RCC2
chr1	17766327	17766364	38	*	X00719	55920	17733251	17766250	33000	-	76	upstream	76	RCC2
chr1	17767158	17767277	120	*	X00720	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18433956	18434165	210	*	X00731	84966	18434240	18704977	270738	+	74	upstream	74	IGSF21
chr1	18434205	18434279	75	*	X00732	84966	18434240	18704977	270738	+	0	overlapStart	0	IGSF21
chr1	18807150	18807344	195	*	X00740	127707	18807424	18812480	5057	+	79	upstream	79	KLHDC7A
chr1	18956098	18956262	165	*	X00744	5081	18957500	19075360	117861	+	1237	upstream	1237	PAX7
chr1	18956988	18957122	135	*	X00745	5081	18957500	19075360	117861	+	377	upstream	377	PAX7
chr1	18957213	18957332	120	*	X00746	5081	18957500	19075360	117861	+	167	upstream	167	PAX7
chr1	19283102	19283195	94	*	X00774	126917	19230774	19282826	52053	-	275	upstream	275	IFFO2
chr1	19283807	19283896	90	*	X00775	126917	19230774	19282826	52053	-	980	upstream	980	IFFO2
chr1	19637168	19637287	120	*	X00776	54896	19638740	19658922	20183	+	1452	upstream	1452	SLC66A1
chr1	19637976	19638335	360	*	X00777	54896	19638740	19658922	20183	+	404	upstream	404	SLC66A1
chr1	19811548	19811967	420	*	X00781	832	19665267	19812066	146800	-	0	inside	98	CAPZB
chr1	19812398	19812547	150	*	X00782	832	19665267	19812066	146800	-	331	upstream	331	CAPZB
chr1	19991169	19991258	90	*	X00784	3362	19991780	20006055	14276	+	521	upstream	521	HTR6
chr1	19991638	19992102	465	*	X00785	3362	19991780	20006055	14276	+	0	overlapStart	0	HTR6
chr1	20142988	20143137	150	*	X00790	54546	20140522	20141771	1250	-	1216	upstream	1216	RNF186
chr1	20511356	20511408	53	*	X00794	127733	20512578	20519942	7365	+	1169	upstream	1169	UBXN10
chr1	20512401	20512550	150	*	X00795	127733	20512578	20519942	7365	+	27	upstream	27	UBXN10
chr1	20617277	20617396	120	*	X00798	127731	20617412	20681387	63976	+	15	upstream	15	VWA5B1
chr1	20756923	20757042	120	*	X00805	339505	20686294	20755287	68994	-	1635	upstream	1635	LINC01141
chr1	20812318	20812722	405	*	X00810	55450	20808884	20812728	3845	-	0	inside	5	CAMK2N1
chr1	20812732	20812871	140	*	X00811	55450	20808884	20812728	3845	-	3	upstream	3	CAMK2N1
chr1	20878347	20878485	139	*	X00812	163933	20878932	20881513	2582	+	446	upstream	446	FAM43B
chr1	20879086	20879205	120	*	X00813	163933	20878932	20881513	2582	+	0	inside	153	FAM43B
chr1	20915214	20915351	138	*	X00816	978	20915444	20945400	29957	+	92	upstream	92	CDA
chr1	21044298	21044316	19	*	X00824	57576	20990507	21044317	53811	-	0	inside	0	KIF17
chr1	21113449	21113523	75	*	X00831	50809	21069171	21113799	44629	-	0	inside	275	HP1BP3
chr1	21503071	21503109	39	*	X00835	8672	21132785	21503381	370597	-	0	inside	271	EIF4G3
chr1	21504151	21504255	105	*	X00836	8672	21132785	21503381	370597	-	769	upstream	769	EIF4G3
chr1	21672718	21672807	90	*	X00844	1889	21543740	21672034	128295	-	683	upstream	683	ECE1
chr1	21835852	21835956	105	*	X00850	249	21835858	21904905	69048	+	0	overlapStart	0	ALPL
chr1	21995313	21995642	330	*	X00860	5909	21922708	21995856	73149	-	0	inside	213	RAP1GAP
chr1	22263353	22263502	150	*	X00864	3339	22148737	22263750	115014	-	0	inside	247	HSPG2
chr1	22379391	22379570	180	*	X00865	998	22379120	22419436	40317	+	0	inside	270	CDC42
chr1	22470088	22470192	105	*	X00871	54361	22443798	22470385	26588	-	0	inside	192	WNT4
chr1	23036564	23036773	210	*	X00879	2048	23037331	23241823	204493	+	557	upstream	557	EPHB2
chr1	23036834	23036983	150	*	X00880	2048	23037331	23241823	204493	+	347	upstream	347	EPHB2
chr1	23345295	23345444	150	*	X00885	23028	23345941	23410184	64244	+	496	upstream	496	KDM1A
chr1	23670496	23670825	330	*	X00894	10236	23636276	23670853	34578	-	0	inside	27	HNRNPR
chr1	23671126	23671230	105	*	X00895	10236	23636276	23670853	34578	-	272	upstream	272	HNRNPR
chr1	23671711	23671815	105	*	X00896	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X00897	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23693971	23694060	90	*	X00898	148898	23695464	23698330	2867	+	1403	upstream	1403	ZNF436-AS1
chr1	23751209	23751313	105	*	X00902	6920	23707555	23751261	43707	-	0	overlapStart	0	TCEA3
chr1	23810660	23811289	630	*	X00908	55616	23755056	23811057	56002	-	0	overlapStart	0	ASAP3
